City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,279.0,60,75,6.71,CA,1687991297
1,selfoss,63.9331,-20.9971,281.51,87,95,11.0,IS,1687991297
2,grytviken,-54.2811,-36.5092,267.06,75,17,4.04,GS,1687991107
3,floro,61.5996,5.0328,290.5,88,75,3.6,NO,1687991298
4,isafjordur,66.0755,-23.124,278.75,89,100,3.89,IS,1687991298
5,porto novo,6.4965,2.6036,296.57,94,96,2.24,BJ,1687991235
6,laojunmiao,39.8333,97.7333,291.71,27,0,2.05,CN,1687991299
7,weno,7.4515,151.8468,302.12,84,75,3.09,FM,1687991299
8,hawaiian paradise park,19.5933,-154.9731,301.5,74,75,6.69,US,1687991108
9,adamstown,-25.066,-130.1015,292.97,67,91,10.33,PN,1687991108
10,tolanaro,-25.0319,46.9987,290.19,94,20,3.09,MG,1687991122
11,waitangi,-43.9535,-176.5597,285.83,96,100,1.34,NZ,1687991110
12,batticaloa,7.7102,81.6924,299.84,78,66,3.12,LK,1687991208
13,kokpekty,48.75,82.4,285.47,72,56,2.69,KZ,1687991300
14,bodo,67.28,14.405,285.25,98,100,1.03,NO,1687991179
15,acarau,-2.8856,-40.12,299.5,82,2,6.44,BR,1687991301
16,bethel,41.3712,-73.414,298.51,77,40,2.57,US,1687991125
17,talnakh,69.4865,88.3972,284.38,61,9,1.04,RU,1687991213
18,villa garcia,22.1667,-101.95,302.37,11,3,7.31,MX,1687991302
19,edinburgh of the seven seas,-37.0676,-12.3116,288.59,97,90,8.4,SH,1687991103
20,atherton,53.5237,-2.4935,288.87,90,100,2.9,GB,1687991302
21,katsuura,35.1333,140.3,297.85,84,65,5.83,JP,1687991302
22,hammerfest,70.6634,23.6821,282.4,87,75,3.6,NO,1687991302
23,bilibino,68.0546,166.4372,285.52,51,100,1.44,RU,1687991105
24,puerto natales,-51.7236,-72.4875,272.93,95,97,1.88,CL,1687991104
25,mirriah,13.7073,9.1501,305.38,35,32,3.41,NE,1687991303
26,vel'sk,61.0701,42.0983,286.69,79,13,1.62,RU,1687991303
27,port-aux-francais,-49.35,70.2167,276.5,95,100,7.03,TF,1687991103
28,boa vista,2.8197,-60.6733,303.14,62,40,2.06,BR,1687991304
29,thompson,55.7435,-97.8558,293.24,77,75,2.57,CA,1687991129
30,chengde,40.9725,117.9361,290.43,85,0,1.39,CN,1687991112
31,olonkinbyen,70.9221,-8.7187,278.88,98,100,5.62,SJ,1687991118
